# VinNotDiesel income model v1.2 — dealer subs primary for dealers; success fee mostly private/fleet
# SOURCED | ASSUMPTION | CALC
row_type,scenario,year,metric,unit,value,source_url,reasoning
SOURCED,all,all,cars_and_bids_buyer_fee_pct,percent,5,https://carsandbids.com/what-is/,Published buyer fee — ceiling not v0 lead
SOURCED,all,all,cars_and_bids_buyer_fee_min,USD,250,https://carsandbids.com/what-is/,
SOURCED,all,all,cars_and_bids_buyer_fee_max,USD,7500,https://carsandbids.com/what-is/,
SOURCED,all,all,cars_and_bids_safepay_fee,USD,198,https://carsandbids.com/safepay/,
SOURCED,all,all,bat_seller_listing_classic,USD,99,https://bringatrailer.com/submit-a-vehicle/,
SOURCED,all,all,bat_seller_listing_plus,USD,429,https://bringatrailer.com/submit-a-vehicle/,
SOURCED,all,all,bat_white_glove_listing,USD,2500,https://bringatrailer.com/whiteglove/,
SOURCED,all,all,bat_buyer_fee_standard_pct,percent,5,https://bringatrailer.com/how-bat-works/,
SOURCED,all,all,autotrader_psx_listing_over_20k,USD,49,https://intercom.help/autotraderprivatesellerexchange/en/articles/12820777-how-much-does-it-cost-to-sell-a-car-through-psx,
SOURCED,all,all,ford_f150_lightning_us_sales_2024,units,33510,https://www.sec.gov/Archives/edgar/data/37996/000003799625000002/exhibit99q42024salesrele.htm,
SOURCED,all,all,ford_etransit_us_sales_2024,units,12610,https://www.sec.gov/Archives/edgar/data/37996/000003799625000002/exhibit99q42024salesrele.htm,
SOURCED,all,all,nhtsa_recall_25v131_part573,text,25V-131,https://static.nhtsa.gov/odi/rcl/2025/RCLRPT-25V131-1389.PDF,Ford F-150 Lightning HV battery recall; charge to 80% recommended until remedy
SOURCED,all,all,nhtsa_recall_25v131_owner_notice,text,25V131,https://static.nhtsa.gov/odi/rcl/2025/RIONL-25V131-1511.pdf,Owner notice cites NHTSA 25V131 / Ford 25S18 and 80% charge limit
SOURCED,all,all,team_inventory_sample_rows_trucks_csv,count,101,,Team-verified used EV truck/van sample CSV 2026-09-24
SOURCED,all,all,team_inventory_median_ask_workish,USD,51635,,Median work-relevant mix in 101-row sample
SOURCED,all,all,team_used_ev_vans_verified_total,count,249,,Team-verified used EV van inventory count 2026-09-24
SOURCED,all,all,team_used_etransit_count,count,113,,Team-verified 2026-09-24
SOURCED,all,all,team_used_brightdrop_count,count,68,,Team-verified 2026-09-24
SOURCED,all,all,team_used_rivian_van_ask_low,USD,34995,,Team-verified listed ask range low 2026-09-24
SOURCED,all,all,team_used_rivian_van_ask_high,USD,46299,,Team-verified listed ask range high 2026-09-24
SOURCED,all,all,team_florida_dealers_rolodex,count,21,,Outreach rolodex — not first-10 new-stock sources
SOURCED,all,all,team_nationwide_dealers_rolodex,count,137,,Outreach rolodex
SOURCED,all,all,example_used_lightning_pro_carscom,USD,35500,https://www.cars.com/vehicledetail/525c7e0f-fc2e-453d-bd73-a61fa7b0f3ac/,First-10 used seed candidate
SOURCED,all,all,example_used_lightning_greenwave,USD,48400,https://www.greenwaveev.com/vehicle/used-2023-ford-rayo-f-150-xlt-1ftvw1ev1pwg42328/,EV-only dealer used unit
SOURCED,all,all,example_used_lightning_evauto,USD,50900,https://www.evauto.com/vehicle/used-2023-ford-f-150-lightning-lariat-1ftvw1ev9pwg10081/,EV-only dealer used unit
SOURCED,all,all,example_used_etransit_carscom,USD,23999,https://www.cars.com/vehicledetail/4fcfeb75-16a6-496e-a599-309d9e451129/,
SOURCED,all,all,example_used_brightdrop_carscom,USD,35111,https://www.cars.com/vehicledetail/dcfbefed-91d5-4d4e-a32c-a59ccab14d86/,
SOURCED,all,all,example_used_silverado_wt_carscom,USD,51387,https://www.cars.com/vehicledetail/6217c752-4d4e-404e-9212-f7c81d381a78/,
SOURCED,all,all,cargurus_us_dealer_list_price_public,text,not_published,https://dealers.cargurus.com/listings,
ASSUMPTION,all,all,vnd_seller_success_fee_pct,percent,3,,On-platform private/fleet closes
ASSUMPTION,all,all,vnd_seller_success_fee_min,USD,500,,
ASSUMPTION,all,all,vnd_seller_success_fee_max,USD,3000,,
ASSUMPTION,all,all,vnd_seller_listing_fee,USD,79,,
ASSUMPTION,all,all,vnd_featured_fee,USD,149,,
ASSUMPTION,all,all,vnd_soh_package_price,USD,129,,Complete-listing path
ASSUMPTION,all,all,vnd_financing_referral_fee,USD,250,,
ASSUMPTION,all,all,vnd_insurance_referral_fee,USD,125,,
ASSUMPTION,all,all,vnd_warranty_referral_fee,USD,200,,
ASSUMPTION,all,all,vnd_upfit_partner_referral_fee_y1,USD,125,,Generic upfit partner — not a named sister brand
ASSUMPTION,all,all,vnd_buyer_premium_v0,text,deferred,,Not v0 lead
